Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,Description,Value,Pkg Code,VID,Vendor Part Num,Price @ 500,Height,Link,XREF
1,"VR_R4",0,0603-RES,RC0603JR-070RL,Yageo,Resistor,0,0603,*,311-0.0GRCT-ND,0.00294,*,http://www.digikey.com/product-detail/en/RC0603JR-070RL/311-0.0GRCT-ND/729622,REF44
2,"VR3_0R1, VR5_0R2",0,0603-RES,RC0603JR-070RL,Yageo,Resistor,0,0603,*,311-0.0GRCT-ND,0.00294,*,http://www.digikey.com/product-detail/en/RC0603JR-070RL/311-0.0GRCT-ND/729622,REF44
2,"R_LED_BT, R_LED_CH",1.4k,0603-RES,RC0603FR-071K4L,Yageo,Resistor,1.4k,0603,*,311-1.40KHRCT-ND,0.00364,*,http://www.digikey.com/product-detail/en/RC0603FR-071K4L/311-1.40KHRCT-ND/729808,REF46
1,"VR_FUSE",1A,PTC-1206-WIDE,0ZCJ0100FF2E,Bel Fuse Inc.,Fuse Resetable,1A,*,*,507-1806-1-ND,0.09922,*,http://www.digikey.com/product-detail/en/0ZCJ0100FF2E/507-1806-1-ND/4156243,REF30
1,"UC_R1",1M,0603-RES,RC0603FR-071ML,Yageo,Resistor,1M,0603,*,311-1.00MHRCT-ND,0.00364,*,http://www.digikey.com/product-detail/en/RC0603FR-071ML/311-1.00MHRCT-ND/729791,REF53
7,"BT_C1, CD_C1, CE_C1, CTH_C1, UC_C5, UC_C7, UC_C8",1uF,0603-CAP,C1608X5R1C105K080AA,TDK,Capacitor,1uF,0603,*,445-1416-1-ND,0.02356,*,http://www.digikey.com/product-detail/en/C1608X5R1C105K080AA/445-1416-1-ND/569082,REF40
1,"VR3_L1",2.2uH,1210,BRL3225T2R2M,Taiyo Yuden,Inductor 2.2uH,2.2uH,*,*,609-4050-1-ND,0.13476,*,http://www.digikey.com/product-detail/en/BRL3225T2R2M/587-2165-1-ND/2002863,REF26
1,"UR_R2",6.65k,0603-RES,RC0603FR-076K65L,Yageo,Resistor,6.65k,0603,*,311-6.65KHRCT-ND,0.00364,*,http://www.digikey.com/product-detail/en/RC0603FR-076K65L/311-6.65KHRCT-ND/730269,REF48
1,"VR5_L1",6uH,1210,NRS5020T6R8MMGJ,Taiyo Yuden,Inductor 6uH,6uH,*,*,587-2408-1-ND,0.315,*,http://www.digikey.com/product-detail/en/NRS5020T6R8MMGJ/587-2408-1-ND/2230274,REF27
1,"VR_R1",10k,0603-RES,RC0603JR-0710KL,Yageo,Resistor,10k,0603,*,311-10KGRCT-ND,0.00364,*,http://www.digikey.com/product-detail/en/RC0603JR-0710KL/311-10KGRCT-ND/729647,REF49
3,"UC_R2, UC_R4, U_R3",10k,0603-RES,RC0603JR-0710KL,Yageo,Resistor,10k,0603,*,311-10KGRCT-ND,0.00364,*,http://www.digikey.com/product-detail/en/RC0603JR-0710KL/311-10KGRCT-ND/729647,REF49
9,"UR_C1, U_C1, U_C3, VR3_C1, VR3_C2, VR3_C3, VR5_C1, VR5_C2, VR5_C3",10uF,0805,C2012X5R1C106K085AC,TDK,Capacitor,10uF,0805,*,445-7644-1-ND,0.07298,*,http://www.digikey.com/product-detail/en/C2012X5R1C106K085AC/445-7644-1-ND/2733716,REF41
1,"UC_CRYSTAL",16MHz,HC49UP,ECS-160-20-3X-TR,ECS,Crystal,16MHz,*,*,XC1776CT-ND,0.266,2.3,http://www.digikey.com/product-detail/en/ECS-160-20-3X-TR/XC1776CT-ND/2676640,REF4
2,"UC_C3, UC_C4",20pF,0603-CAP,CL10C200JB8NNNC,Samsung,Capacitor,20pF,0603,*,1276-1187-1-ND,0.00966,*,http://www.digikey.com/product-detail/en/CL10C200JB8NNNC/1276-1187-1-ND/3889273,REF38
2,"U_R1, U_R2",22,0603-RES,RC0603JR-0722RL,Yageo,Resistor,22,0603,*,311-22GRCT-ND,0.00278,*,http://www.digikey.com/product-detail/en/RC0603JR-0722RL/311-22GRCT-ND/729690,REF45
1,"VR5_R2",53.6k,0603-RES,RC0805FR-0753K6L,Yageo,Resistor,53.6k,0603,*,311-53.6KCRCT-ND,0.00364,*,http://www.digikey.com/product-detail/en/RC0805FR-0753K6L/311-53.6KCRCT-ND/730972,REF50
1,"VR3_R2",86.6k,0603-RES,ERJ-3EKF8662V,Panasonic,Resistor,86.6k,0603,*,P86.6KHCT-ND,0.00624,*,http://www.digikey.com/product-detail/en/ERJ-3EKF8662V/P86.6KHCT-ND/198534,REF51
2,"UC_C1, UC_C2",100n,0603-CAP,C1608X7R1E104K080AA,TDK,Capacitor,100nF,0603,*,445-1316-1-ND,0.0077,*,http://www.digikey.com/product-detail/en/C1608X7R1E104K080AA/445-1316-1-ND/567697,REF39
5,"BT_C2, UC_C6, U_C2, U_C4, VR5_C4",100nF,0603-CAP,C1608X7R1E104K080AA,TDK,Capacitor,100nF,0603,*,445-1316-1-ND,0.0077,*,http://www.digikey.com/product-detail/en/C1608X7R1E104K080AA/445-1316-1-ND/567697,REF39
3,"VR3_R1, VR5_R1, VR_R2",487k,0603-RES,ERJ-3EKF4873V,Panasonic,Resistor,487k,0603,*,P487KHCT-ND,0.00624,*,http://www.digikey.com/product-detail/en/ERJ-3EKF4873V/P487KHCT-ND/198411,REF52
1,"ATMEGA32U4-T",ATMEGA32U4-XUAU,TQFP44-PAD,***PART# 'ATMEGA32U4-XUAU' NOT FOUND***,*,*,*,*,*,*,*,*,*,*
1,"UBT",BT-NVC-MDCS42A,BT_NVC-MDCS42A,NVC-MDCS42A,iNova,BT Module,*,*,*,n/a,*,*,n/a,REF7
6,"U_Z1, U_Z2, U_Z3, U_Z4, U_Z5, U_Z6",CG0603MLC-05E,CT/CN0603,CG0603MLC-05E,Bourns Inc.,Varistor,*,*,*,CG0603MLC-05ECT-ND,0.1092,*,http://www.digikey.com/product-detail/en/CG0603MLC-05E/CG0603MLC-05ECT-ND/3438061,REF36
1,"CON_ADDON",CON_1X52MM,CON_5_2MM,950505-5002-AR,3M,Connector (addon board),5 pin,*,*,3M9368-ND,0.72,*,http://www.digikey.com/product-search/en?x=0&y=0&lang=en&site=us&KeyWords=3M9368-ND,REF17
1,"CON_BAT",CON_BAT,JST-2-SMD,S2B-PH-SM4-TB(LF)(SN),JST Sales America,Conn Battery,*,*,*,455-1749-1-ND,0.34734,*,http://www.digikey.com/product-detail/en/S2B-PH-SM4-TB(LF)(SN)/455-1749-1-ND/926846,REF23
1,"CON_DUST",CON_DUST,S4B-EH,S4B-EH,JST Sales America,Connector (Dust Sensor),*,*,*,455-1627-ND,0.09906,*,http://www.digikey.com/product-detail/en/S4B-EH(LF)(SN)/455-1627-ND/926535,REF15
1,"VR_D1",DIODESOD123,SOD123_DIODE,B130LAW-7-F,Diodes Incorporated,Diode Schottkey,*,*,*,B130LAW-FDICT-ND,0.16128,*,http://www.digikey.com/product-detail/en/B130LAW-7-F/B130LAW-FDICT-ND/725052,REF34
1,"U_MEGA32U-Q",DNP,QFN44ML7X7,DNP,DO NOT POPULATE,DO NOT POPULATE,*,*,*,*,*,*,DO NOT POPULATE,REF56
1,"VR_R3",DNP,0603-RES,RC0603JR-070RL,Yageo,Resistor,0,0603,*,311-0.0GRCT-ND,0.00294,*,http://www.digikey.com/product-detail/en/RC0603JR-070RL/311-0.0GRCT-ND/729622,REF44
3,"UC_R3, VR3_0R2, VR5_0R1",DNP,0603-RES,RC0603JR-070RL,Yageo,Resistor,0,0603,*,311-0.0GRCT-ND,0.00294,*,http://www.digikey.com/product-detail/en/RC0603JR-070RL/311-0.0GRCT-ND/729622,REF44
1,"VR_C1",DNP,2917_CAP,T491D107K010AT,Kernet,Capacitor – Tantilum,100uF,2917,*,*,*,*,http://www.digikey.com/product-detail/en/T491D107K010AT/399-3769-1-ND/819094,REF42
3,"CA_FB1, U_FB1, U_FB2",FERITE_BEAD,U_FB1,MH2029-300Y,Bourns Inc.,Ferite Bead,3A,*,*,MH2029-300YCT-ND,0.02324,*,http://www.digikey.com/product-detail/en/MH2029-300Y/MH2029-300YCT-ND/3741761,REF35
3,"FID1, FID2, FID3",FIDUCIALMOUNT,FIDUCIA-MOUNT,DNP,DO NOT POPULATE,DO NOT POPULATE,*,*,*,*,*,*,DO NOT POPULATE,REF56
1,"CON_ICSP",ICSP,2X03,67997-206HLF,FCI,Connector ISP,*,*,*,609-3234-ND,0.17494,*,http://www.digikey.com/product-detail/en/67997-206HLF/609-3234-ND/1878491,REF3
1,"LED_BT",LED,LED_550,550-1107F,Dialight,LED -  Red,Red,*,*,350-1620-ND,0.5202,*,http://www.digikey.com/product-detail/en/550-1107F/350-1620-ND/809018,REF6
1,"LED_CH",LED,LED_550,550-1307F,Dialight,LED – Green,Green,*,*,350-1627-ND,0.5712,*,http://www.digikey.com/product-detail/en/550-1307F/350-1627-ND/809025,REF5
1,"U$1",MOSFET-N,SOT23,NDS331N,Fairchild,MOSFET – N,*,*,*,NDS331NCT-ND,0.1407,*,http://www.digikey.com/product-detail/en/NDS331N/NDS331NCT-ND/458997,REF55
1,"VR_MOS-P1",MOSFET-P,SOT23,IRLML2246TRPBF,International Rectifier,MOSFET–P,*,*,*,IRLML2246TRPBFCT-ND,0.128,*,http://www.digikey.com/product-detail/en/IRLML2246TRPBF/IRLML2246TRPBFCT-ND/2639576,REF33
1,"LION_BATTERY",OFF_BOARD,EMPTY,585460_2000mAh,UnionFortune,Battery – Lion,2000mAh,*,*,*,11.16,*,http://www.jayconsystems.com/3-7-volt-rechargeable-lithium-battery-2000-mah.html,REF22
1,"3_3V_FAN_COPOL",OFF_BOARD,EMPTY,F16FB-05LLC/E,Copol,Fan Copol,*,*,*,563-1106-ND,6.46552,*,http://www.digikey.com/product-detail/en/F16EA-03LLC%20%2FE/563-1106-ND/1165500,REF12
1,"DUST_SENSOR",OFF_BOARD,EMPTY,PPD60PV-T2,SHINYEI,Sensor Dust ,*,*,*,*,25,*,n/a,REF11
1,"U_ONOFF",PUSHBUTTON,PUSHBUTTON,LC2259EENP,E-Switch,Power Button,*,*,*,*,0.535,*,http://www.futureelectronics.com/en/Technologies/Product.aspx?ProductID=LC2259EENPESWITCH6265227&IM=0,REF21
1,"U_TEMP-HUM",RHT03,RHT03,RHT03,Maxdetect,Sensor Temp-Humidity ,*,*,*,*,6.55,*,http://www.ebay.com/itm/NEW-DHT22-AM2302-Digital-Temperature-Humidity-Sensor-Replace-SHT11-SHT15-Logger-/271175728425?pt=LH_DefaultDomain_0&hash=item3f23553d29,REF10
1,"U$2",SUR_2PIN,JST-0.8MM,SM02B-SURS-TF,SUR,Connector Fan,2 pin,*,*,455-2039-1-ND,0.4066,*,http://www.digikey.com/product-detail/en/SM02B-SURS-TF(LF)(SN)%3B/455-2039-1-ND/1634927,REF14
